STATE,DISTRICT,FLOOD
101,101001,2
101,101002,4
101,101003,3
101,101004,4
101,101005,8
101,101006,2
102,102001,8
102,102002,4
102,102003,5
102,102004,8
102,102005,4
103,103001,4
103,103002,1
103,103003,9
103,103004,7
104,104001,1
104,104002,8
104,104003,8
105,105001,1
105,105002,9
106,106001,3
106,106002,9
106,106003,6
106,107001,9
106,107002,9
106,107003,9
108,108001,9
108,108002,5
108,108003,7
108,108004,2
108,108005,3
108,108006,10
109,109001,14
109,109002,0
109,109003,10
109,109004,10
109,109005,10
109,109006,2
111,111001,4
111,111002,1
111,111003,3
111,111004,1
111,111005,5
111,111006,5
111,111007,6
112,112001,1
112,112002,4
112,112003,3
112,112004,6
112,112005,2
112,112006,3
112,112007,7
112,112008,5
112,112009,3
112,112010,1
112,112011,3
112,112012,4
112,112013,8
112,112014,1
113,113001,12
113,113002,5
113,113003,6
113,113004,0
113,113005,1
113,113006,1
113,113007,2
113,113008,2
113,113009,5
113,113010,1
113,113011,1
113,113012,1
113,113013,7
